Plugin,Menu,Section,Type,English,Japanese
"Pawprint","","","@Window","Pawprint",""
"Pawprint","","","","#02 松鼠","#02 リス"
"Pawprint","","","","#02 松鼠 → 松鼠 · NameId 37","#02 リス → リス · NameId 37"
"Pawprint","","","","01 库西##monster1","01 KUSI ##monster1"
"Pawprint","","","","02 松鼠##monster2","02 リス ##monster2"
"Pawprint","","","","03 迷途羊羔##monster3","03 迷える子羊 ##monster3"
"Pawprint","","","","04 陆鱼##monster4","04 陸裕 ##monster4"
"Pawprint","","","","05 奥猴##monster5","05 蒼鳳 ##monster5"
"Pawprint","","","","06 渡渡鸟##monster6","06 ドードー ##monster6"
"Pawprint","","","","07 锈蚀矿爬虫##monster7","07 ラストマインクローラー ##monster7"
"Pawprint","","","","08 凶蛛蝎##monster8","08 獰猛なスパイダーサソリ ##monster8"
"Pawprint","","","","09 巨型陆蟹##monster9","09 ジャイアントランドクラブ ##monster9"
"Pawprint","","","","10 大黄蜂##monster10","10 バンブルビー##monster10"
"Pawprint","","","","11 筑巢秃鹫##monster11","11 巣を作るハゲワシ ##monster11"
"Pawprint","","","","12 小蔓德拉##monster12","12 リトル・マンデラ ##monster12"
"Pawprint","","","","13 死魂##monster13","13 デッドソウル ##monster13"
"Pawprint","","","","14 跳蜥幼体##monster14",""
"Pawprint","","","","143 / 143 件",""
"Pawprint","","","","15 薄壳蟹##monster15","薄殻ガニ 15匹 ##monster15"
"Pawprint","","","","16 螳螂杀手##monster16","16 カマキリキラー ##monster16"
"Pawprint","","","","17 怒水腐液##monster17","17 怒りの水の腐敗 ##monster17"
"Pawprint","","","","18 无头教练##monster18","18 ヘッドレスコーチ ##monster18"
"Pawprint","","","","19 洞穴蝙蝠##monster19",""
"Pawprint","","","","20 小红花##monster20",""
"Pawprint","","","","203 / 203 件",""
"Pawprint","","","","21 罗斯利特鹈鹕##monster21","21 ローズレット ペリカン ##monster21"
"Pawprint","","","","22 仙人掌##monster22","22 サボテン ##monster22"
"Pawprint","","","","23 砂石巨像##monster23","23 砂岩の巨像 ##monster23"
"Pawprint","","","","24 碧企鹅##monster24","24 バイペンギン ##monster24"
"Pawprint","","","","25 巨龟##monster25","25 巨大ガメ ##monster25"
"Pawprint","","","","26 负伤原牛##monster26","26 傷ついたオリジナル牛 ##monster26"
"Pawprint","","","","27 船菊石##monster27",""
"Pawprint","","","","28 沙地巨虫##monster28","28 サンドジャイアントワーム ##monster28"
"Pawprint","","","","29 盗墓魔石精##monster29","29 墓荒らしの魔石 ##monster29"
"Pawprint","","","","30 无苔古菩猩猩##monster30","30 モスレス古代オランウータン ##monster30"
"Pawprint","","","","31 沙蟾蜍##monster31","31 スナガエル ##monster31"
"Pawprint","","","","32 蜂鸟##monster32","32 ハチドリ ##monster32"
"Pawprint","","","","33 长须豹##monster33","33 ヒゲヒョウ ##monster33"
"Pawprint","","","","34 森疾龙##monster34","34 セン・ジ・ロン ##monster34"
"Pawprint","","","","35 烈阳火蛟##monster35","35 烈陽火竜 ##monster35"
"Pawprint","","","","36 幼体树精##monster36",""
"Pawprint","","","","37 灵蚁禁军士兵 / 灵蚁禁军警卫##monster37","37 精霊蟻帝国軍兵士/精霊蟻帝国軍親衛隊 ##monster37"
"Pawprint","","","","38 奇美拉##monster38","38 キメラ ##monster38"
"Pawprint","","","","39 套索花##monster39","39 なげなわの花 ##monster39"
"Pawprint","","","","40 妖魂##monster40","40 デーモンソウル ##monster40"
"Pawprint","","","","41 深黑水蜥##monster41","41 ダークブラックウォーターリザード ##monster41"
